  a3 | 03/10/2024 | 19:01:32 | System Event #0xff | PEF Action () | Asserted
  a4 | 03/11/2024 | 19:01:06 | System Event #0xff | PEF Action () | Asserted
  a5 | 03/11/2024 | 19:01:43 | System Event #0xff | PEF Action () | Asserted
  a6 | 03/20/2024 | 12:00:45 | System Event #0xff | PEF Action () | Asserted
  a7 | 03/20/2024 | 12:01:37 | System Event #0xff | PEF Action () | Asserted
  a8 | 03/31/2024 | 23:00:45 | System Event #0xff | PEF Action () | Asserted
  a9 | 03/31/2024 | 23:01:35 | System Event #0xff | PEF Action () | Asserted
  aa | 04/14/2024 | 23:01:12 | System Event #0xff | PEF Action () | Asserted
  ab | 04/14/2024 | 23:01:48 | System Event #0xff | PEF Action () | Asserted
  ac | 04/18/2024 | 05:29:43 | System Event #0xff | PEF Action () | Asserted
  ad | 04/18/2024 | 05:30:23 | System Event #0xff | PEF Action () | Asserted
  ae | 04/28/2024 | 22:01:15 | System Event #0xff | PEF Action () | Asserted
  af | 04/28/2024 | 22:01:54 | System Event #0xff | PEF Action () | Asserted
  b0 | 05/06/2024 | 04:30:04 | System Event #0xff | PEF Action () | Asserted
  b1 | 05/06/2024 | 04:30:40 | System Event #0xff | PEF Action () | Asserted
