Host IP,Log Output
  9a | 02/28/2024 | 10:00:56 | System Event #0xff | PEF Action () | Asserted
  9b | 02/28/2024 | 10:01:55 | System Event #0xff | PEF Action () | Asserted
  9c | 02/28/2024 | 11:09:45 | Unknown |  | Asserted
  9d | 02/28/2024 | 11:35:07 | System Event #0xff | PEF Action () | Asserted
  9e | 02/28/2024 | 11:52:37 | System Event #0xff | PEF Action () | Asserted
  9f | 02/28/2024 | 11:54:33 | System Event #0xff | PEF Action () | Asserted
  a0 | 02/28/2024 | 15:54:17 | System Event #0xff | PEF Action () | Asserted
  a1 | 02/28/2024 | 16:21:50 | System Event #0xff | PEF Action () | Asserted
  a2 | 02/28/2024 | 16:35:44 | System Event #0xff | PEF Action () | Asserted
  a3 | 02/28/2024 | 17:16:33 | System Event #0xff | PEF Action () | Asserted
  a4 | 02/28/2024 | 19:13:32 | System Event #0xff | PEF Action () | Asserted
  a5 | 02/29/2024 | 02:38:45 | System Event #0xff | PEF Action () | Asserted
  a6 | 02/29/2024 | 02:58:31 | System Event #0xff | PEF Action () | Asserted
  a7 | 02/29/2024 | 03:22:26 | System Event #0xff | PEF Action () | Asserted
  a8 | 02/29/2024 | 06:17:39 | System Event #0xff | PEF Action () | Asserted
  a9 | 02/29/2024 | 06:26:46 | System Event #0xff | PEF Action () | Asserted
  aa | 02/29/2024 | 06:53:22 | System Event #0xff | PEF Action () | Asserted
  ab | 02/29/2024 | 08:36:28 | System Event #0xff | PEF Action () | Asserted
  ac | 02/29/2024 | 08:36:59 | System Event #0xff | PEF Action () | Asserted
  ad | 02/29/2024 | 10:07:57 | System Event #0xff | PEF Action () | Asserted
  ae | 03/10/2024 | 19:00:46 | System Event #0xff | PEF Action () | Asserted
  af | 03/10/2024 | 19:01:17 | System Event #0xff | PEF Action () | Asserted
  b0 | 03/11/2024 | 19:00:57 | System Event #0xff | PEF Action () | Asserted
  b1 | 03/11/2024 | 19:01:34 | System Event #0xff | PEF Action () | Asserted
  b2 | 03/20/2024 | 12:01:11 | System Event #0xff | PEF Action () | Asserted
  b3 | 03/20/2024 | 12:01:46 | System Event #0xff | PEF Action () | Asserted
  b4 | 03/31/2024 | 23:00:53 | System Event #0xff | PEF Action () | Asserted
  b5 | 03/31/2024 | 23:01:24 | System Event #0xff | PEF Action () | Asserted
  b6 | 04/14/2024 | 23:00:44 | System Event #0xff | PEF Action () | Asserted
  b7 | 04/14/2024 | 23:01:25 | System Event #0xff | PEF Action () | Asserted
  b8 | 04/18/2024 | 05:29:35 | System Event #0xff | PEF Action () | Asserted
  b9 | 04/18/2024 | 05:30:12 | System Event #0xff | PEF Action () | Asserted
